0 1:0.00586831 2:-0.00602764 3:0.00655662 4:0.0206174 5:-0.019542 6:0.0408897 7:0.828431 8:0.103334 9:0.0682354 10:0.0123395 11:0.931765 12:0.222617 13:0.0550372
0 1:0.0217306 2:-0.00462738 3:-0.00536046 4:0.0106678 5:0.0128331 6:0.0535198 7:0.635069 8:0.253548 9:0.111383 10:0.0200101 11:0.888617 12:0.27998 13:0.0754465
0 1:0.689928 2:0.133163 3:0.00228267 4:0.261036 5:-0.0573497 6:0.0157866 7:0.674404 8:0.323546 9:0.00205058 10:0.063643 11:0.997949 12:0.581954 13:0.00154452
0 1:0.354894 2:0.150659 3:0.0502589 4:0.335517 5:-0.0223776 6:0.0152547 7:0.582615 8:0.415317 9:0.00206825 10:0.047336 11:0.997932 12:0.680836 13:0.00145708
1 1:0.0616684 2:-0.0126748 3:-0.00219316 4:0.0173701 5:0.0205059 6:0.0517954 7:0.209154 8:0.708083 9:0.0827635 10:0.0281418 11:0.917237 12:0.375599 13:0.0441733
1 1:0.026416 2:0.0245716 3:0.0145876 4:0.0655264 5:-0.00453562 6:0.055225 7:0.227713 8:0.64916 9:0.123127 10:0.0354392 11:0.876873 12:0.411623 13:0.0649603
0 1:0.639525 2:0.29274 3:0.0158688 4:0.389662 5:-0.051026 6:0.0153501 7:0.74815 8:0.249979 9:0.00187062 10:0.0648284 11:0.998129 12:0.489799 13:0.00149205
1 1:0.033254 2:0.028287 3:0.0141523 4:0.0609349 5:-0.00214099 6:0.0453719 7:0.379699 8:0.487488 9:0.132813 10:0.0346392 11:0.867187 12:0.398106 13:0.0757584
0 1:1.20896 2:0.0622878 3:-0.0120507 4:0.26471 5:-0.0501791 6:0.017935 7:0.777263 8:0.216042 9:0.00669422 10:0.138606 11:0.993306 12:0.15816 13:0.00544498
0 1:0.409883 2:-0.000330592 3:0.0109959 4:0.253235 5:-0.0423097 6:0.0606931 7:0.361173 8:0.513325 9:0.125502 10:0.176898 11:0.874498 12:0.869212 13:0.0711331
0 1:0.00820962 2:0.00334765 3:0.0016632 4:0.00860496 5:0.0081807 6:0.0601746 7:0.824365 8:0.0999972 9:0.075638 10:0.0145723 11:0.924362 12:0.245477 13:0.0604488
1 1:0.0661658 2:-0.0272356 3:0.000693918 4:0.0347348 5:0.0118492 6:0.0524988 7:0.341029 8:0.4672 9:0.191771 10:0.0415937 11:0.808229 12:0.43104 13:0.103619
0 1:0.00114656 2:0.000958953 3:0.000865319 4:0.00196261 5:0.00386801 6:0.0186385 7:0.905557 8:0.0765983 9:0.0178448 10:0.00232679 11:0.982155 12:0.0913321 13:0.0160433
0 1:0.422176 2:0.00843905 3:0.0128967 4:0.0864179 5:-0.0266618 6:0.0105394 7:0.775763 8:0.22049 9:0.00374719 10:0.0398925 11:0.996253 12:0.597534 13:0.0030515
0 1:0.00773399 2:-0.000475167 3:0.00875113 4:0.0205764 5:-0.0121593 6:0.0416752 7:0.672251 8:0.222963 9:0.104786 10:0.01588 11:0.895214 12:0.24069 13:0.0731472
